stage,seed,n_video,video,backbone,accuracy,f1
FE,37,full,63,CEN-BB,0.562481794348966,0.47720740139876544
FE,37,full,57,CEN-BB,0.6865501519756839,0.5756724062373143
FE,37,full,56,CEN-BB,0.6423118865866958,0.5302431544123523
FE,37,full,58,CEN-BB,0.5311196395795095,0.36376982182003303
FE,37,full,78,CEN-BB,0.6820027063599459,0.5850932887415959
FE,37,full,75,CEN-BB,0.5652626105044202,0.41301124032259234
FE,37,full,49,CEN-BB,0.7091561938958707,0.6142987938312979
FE,37,full,54,CEN-BB,0.7129032258064516,0.60101768381361
FE,37,full,66,CEN-BB,0.8442982456140351,0.7312644332310333
FE,37,full,76,CEN-BB,0.7278218195545488,0.5402559515582854
FE,37,full,70,CEN-BB,0.7152428810720268,0.6284951313156589
FE,37,full,53,CEN-BB,0.7569296375266524,0.5437517935331676
FE,37,full,55,CEN-BB,0.8167791706846673,0.6604196609986027
FE,37,full,74,CEN-BB,0.5305997552019583,0.5291898654111474
FE,37,full,59,CEN-BB,0.8527724665391969,0.7427102053189223
FE,37,full,61,CEN-BB,0.7688818326151055,0.5251493555558246
FE,37,full,60,CEN-BB,0.5932069510268563,0.5021562839317241
FE,37,full,80,CEN-BB,0.8114849187935035,0.6464878122528814
FE,37,full,79,CEN-BB,0.7085530169888694,0.5508672647795311
FE,37,full,52,CEN-BB,0.7990844354018312,0.716606644792149
FE,37,full,68,CEN-BB,0.7647058823529411,0.6972110223523285
FE,37,full,51,CEN-BB,0.6796875,0.5827110518735265
FE,37,full,72,CEN-BB,0.5814552479072762,0.5418392070571265
FE,37,full,67,CEN-BB,0.6901827454313643,0.6037864025532846
FE,37,full,64,CEN-BB,0.7827356130108424,0.6083158535826138
FE,37,full,73,CEN-BB,0.7323008849557522,0.5933603524715091
FE,37,full,62,CEN-BB,0.7066929133858267,0.6754324941121946
FE,1665,full,65,CEN-BB,0.7800320341697811,0.5405719401823869
FE,1665,full,77,CEN-BB,0.8237410071942446,0.7094209959799044
FE,1665,full,50,CEN-BB,0.7696526508226691,0.6416458478275057
FE,1665,full,69,CEN-BB,0.8642622950819672,0.6444841625295794
FE,1665,full,71,CEN-BB,0.74831013916501,0.5294763205692077
FE,1665,full,63,CEN-BB,0.6219050393242063,0.5024254479473076
FE,1665,full,57,CEN-BB,0.6485562310030395,0.5620321525573427
FE,1665,full,56,CEN-BB,0.6494002181025081,0.532815735760573
FE,1665,full,58,CEN-BB,0.5454697146671116,0.3882326815771009
FE,1665,full,78,CEN-BB,0.706359945872801,0.6132119805792371
FE,1665,full,75,CEN-BB,0.5663026521060842,0.4218331224738353
FE,1665,full,49,CEN-BB,0.7522441651705566,0.6370736341448795
FE,1665,full,54,CEN-BB,0.67,0.5762768064502365
FE,1665,full,66,CEN-BB,0.8448464912280702,0.7473191750038357
FE,1665,full,76,CEN-BB,0.7519818799546999,0.5872633128476011
FE,1665,full,70,CEN-BB,0.7152428810720268,0.6586058202411866
FE,1665,full,53,CEN-BB,0.7657630216265611,0.552375616833337
