stage,seed,n_video,video,backbone,accuracy,f1
S2,37,4,18,FL-BB,0.33106672763824463,0.6468
S2,37,4,19,FL-BB,0.4315415918827057,0.6494
S2,37,4,20,FL-BB,0.27256831526756287,0.5401
S2,37,4,21,FL-BB,0.39698493480682373,0.4328
S2,37,4,22,FL-BB,0.26998013257980347,0.5117
S2,37,4,23,FL-BB,0.3287186026573181,0.684
S2,37,4,24,FL-BB,0.6025073528289795,0.7524
S2,37,4,25,FL-BB,0.4547123610973358,0.6179
S2,37,4,26,FL-BB,0.3192927837371826,0.5283
S2,37,4,27,FL-BB,0.42846357822418213,0.6431
S2,37,4,28,FL-BB,0.45163869857788086,0.6335
S2,37,4,29,FL-BB,0.6075778007507324,0.6533
S2,37,4,30,FL-BB,0.22642062604427338,0.5022
S2,37,4,31,FL-BB,0.4344547688961029,0.5686
S2,1665,2,0,FL-BB,0.7348892688751221,0.78
S2,1665,2,1,FL-BB,0.7486289143562317,0.7265
S2,1665,2,2,FL-BB,0.5553668737411499,0.6713
S2,1665,2,3,FL-BB,0.6765004992485046,0.705
S2,1665,2,4,FL-BB,0.6305208802223206,0.6043
S2,1665,2,5,FL-BB,0.5193548202514648,0.6749
S2,1665,2,6,FL-BB,0.8505303859710693,0.7855
S2,1665,2,7,FL-BB,0.45256268978118896,0.4427
S2,1665,2,8,FL-BB,0.5748479962348938,0.6029
S2,1665,2,9,FL-BB,0.310528963804245,0.4951
S2,1665,2,10,FL-BB,0.6089866161346436,0.6818
S2,1665,2,11,FL-BB,0.3203001618385315,0.5867
S2,1665,2,12,FL-BB,0.6500340104103088,0.59
S2,1665,2,13,FL-BB,0.4055117964744568,0.7382
S2,1665,2,14,FL-BB,0.2644917070865631,0.5338
S2,1665,2,15,FL-BB,0.5604670643806458,0.6025
S2,1665,2,16,FL-BB,0.6502936482429504,0.6271
S2,1665,2,17,FL-BB,0.7554824352264404,0.7714
S2,1665,2,18,FL-BB,0.5592859983444214,0.7086
S2,1665,2,19,FL-BB,0.6075050830841064,0.7115
S2,1665,2,20,FL-BB,0.5862295031547546,0.6643
S2,1665,2,21,FL-BB,0.7546063661575317,0.6873
S2,1665,2,22,FL-BB,0.5900596380233765,0.5424
S2,1665,2,23,FL-BB,0.5437862277030945,0.6538
S2,1665,2,24,FL-BB,0.758849561214447,0.7982
S2,1665,2,25,FL-BB,0.3286413848400116,0.534
S2,1665,2,26,FL-BB,0.8278731107711792,0.7388
S2,1665,2,27,FL-BB,0.6810116767883301,0.7515
S2,1665,2,28,FL-BB,0.5983213186264038,0.7216
S2,1665,2,29,FL-BB,0.6021651029586792,0.5839
S2,1665,2,30,FL-BB,0.5260691046714783,0.6628
