stage,seed,n_video,video,backbone,accuracy,f1
S2,37,4,0,FL-BB,0.8659485578536987,0.8667
S2,37,4,1,FL-BB,0.8930529952049255,0.7847
S2,37,4,2,FL-BB,0.7978940010070801,0.8394
S2,37,4,3,FL-BB,0.8982706069946289,0.8871
S2,37,4,4,FL-BB,0.7557112574577332,0.7152
S2,37,4,5,FL-BB,0.8990322351455688,0.8891
S2,37,4,6,FL-BB,0.8871745467185974,0.8114
S2,37,4,7,FL-BB,0.727371871471405,0.7378
S2,37,4,8,FL-BB,0.7142857313156128,0.7679
S2,37,4,9,FL-BB,0.46070414781570435,0.6412
S2,37,4,10,FL-BB,0.899617612361908,0.853
S2,37,4,11,FL-BB,0.5248815417289734,0.5922
S2,37,4,12,FL-BB,0.8273984789848328,0.7514
S2,37,4,13,FL-BB,0.9202755689620972,0.8863
S2,37,4,14,FL-BB,0.6644334197044373,0.6247
S2,37,4,15,FL-BB,0.7097581028938293,0.7547
S2,37,4,16,FL-BB,0.7736251950263977,0.7011
S2,37,4,17,FL-BB,0.9331140518188477,0.8814
S2,37,4,18,FL-BB,0.8933276534080505,0.8698
S2,37,4,19,FL-BB,0.8696754574775696,0.849
S2,37,4,20,FL-BB,0.7296174764633179,0.7313
S2,37,4,21,FL-BB,0.7772194147109985,0.8269
S2,37,4,22,FL-BB,0.7308151125907898,0.7276
S2,37,4,23,FL-BB,0.7936252355575562,0.7851
S2,37,4,24,FL-BB,0.8974926471710205,0.8891
S2,37,4,25,FL-BB,0.8151775002479553,0.7875
S2,37,4,26,FL-BB,0.8164326548576355,0.7024
S2,37,4,27,FL-BB,0.7682144045829773,0.822
S2,37,4,28,FL-BB,0.9120703339576721,0.879
S2,37,4,29,FL-BB,0.8064952492713928,0.7974
S2,37,4,30,FL-BB,0.8327475190162659,0.7304
S2,37,4,31,FL-BB,0.8868909478187561,0.7298
S2,1665,2,0,FL-BB,0.8940753936767578,0.8988
S2,1665,2,1,FL-BB,0.9332724213600159,0.815
S2,1665,2,2,FL-BB,0.83423912525177,0.8277
S2,1665,2,3,FL-BB,0.9369277954101562,0.9198
S2,1665,2,4,FL-BB,0.8674992322921753,0.746
S2,1665,2,5,FL-BB,0.8287096619606018,0.785
S2,1665,2,6,FL-BB,0.9209257364273071,0.867
S2,1665,2,7,FL-BB,0.747546374797821,0.8139
S2,1665,2,8,FL-BB,0.8248479962348938,0.8022
S2,1665,2,9,FL-BB,0.6886367201805115,0.6735
S2,1665,2,10,FL-BB,0.8087953925132751,0.8118
S2,1665,2,11,FL-BB,0.7985782027244568,0.7287
S2,1665,2,12,FL-BB,0.6073939800262451,0.5511
S2,1665,2,13,FL-BB,0.7293307185173035,0.8227
S2,1665,2,14,FL-BB,0.5461695194244385,0.5962
S2,1665,2,15,FL-BB,0.8736447095870972,0.8228
S2,1665,2,16,FL-BB,0.8948211669921875,0.7161
S2,1665,2,17,FL-BB,0.9435306787490845,0.8754
S2,1665,2,18,FL-BB,0.7802804708480835,0.7727
S2,1665,2,19,FL-BB,0.8133874535560608,0.8266
S2,1665,2,20,FL-BB,0.8998907208442688,0.7993
S2,1665,2,21,FL-BB,0.8232830762863159,0.8307
S2,1665,2,22,FL-BB,0.8699800968170166,0.7015
S2,1665,2,23,FL-BB,0.7836445569992065,0.7945
S2,1665,2,24,FL-BB,0.9203540086746216,0.9077
S2,1665,2,25,FL-BB,0.5954712629318237,0.7282
S2,1665,2,26,FL-BB,0.6734269261360168,0.7215
S2,1665,2,27,FL-BB,0.8033220171928406,0.8342
S2,1665,2,28,FL-BB,0.7509992122650146,0.8274
S2,1665,2,29,FL-BB,0.792963445186615,0.7577
S2,1665,2,30,FL-BB,0.8219097852706909,0.6371
S2,1665,2,31,FL-BB,0.9153132438659668,0.7918
S2,8914,2,0,FL-BB,0.8456014394760132,0.8623
S2,8914,2,1,FL-BB,0.9012796878814697,0.7382
S2,8914,2,2,FL-BB,0.83933424949646,0.8491
S2,8914,2,3,FL-BB,0.9013224840164185,0.8875
S2,8914,2,4,FL-BB,0.693268358707428,0.6759
S2,8914,2,5,FL-BB,0.860967755317688,0.8238
S2,8914,2,6,FL-BB,0.9016393423080444,0.8209
S2,8914,2,7,FL-BB,0.7693566083908081,0.7196
S2,8914,2,8,FL-BB,0.7177051901817322,0.7229
S2,8914,2,9,FL-BB,0.3916235566139221,0.4828
S2,8914,2,10,FL-BB,0.8183556199073792,0.7524
S2,8914,2,11,FL-BB,0.365718811750412,0.5604
S2,8914,2,12,FL-BB,0.8038103580474854,0.6942
S2,8914,2,13,FL-BB,0.5570865869522095,0.7807
S2,8914,2,14,FL-BB,0.5036411285400391,0.6802
S2,8914,2,15,FL-BB,0.8144286870956421,0.76
S2,8914,2,16,FL-BB,0.8761345148086548,0.7743
S2,8914,2,17,FL-BB,0.843201756477356,0.8349
S2,8914,2,18,FL-BB,0.8550786375999451,0.8311
S2,8914,2,19,FL-BB,0.8133874535560608,0.8122
S2,8914,2,20,FL-BB,0.881748616695404,0.7738
S2,8914,2,21,FL-BB,0.7755444049835205,0.7492
S2,8914,2,22,FL-BB,0.7121272087097168,0.6347
S2,8914,2,23,FL-BB,0.708950400352478,0.7949
S2,8914,2,24,FL-BB,0.9122418761253357,0.9048
S2,8914,2,25,FL-BB,0.702570378780365,0.7024
S2,8914,2,26,FL-BB,0.8351534008979797,0.7929
S2,8914,2,27,FL-BB,0.7893545031547546,0.8184
S2,8914,2,28,FL-BB,0.8980815410614014,0.8629
S2,8914,2,29,FL-BB,0.6644113659858704,0.6668
S2,8914,2,30,FL-BB,0.8306971192359924,0.6588
S2,8914,2,31,FL-BB,0.6479118466377258,0.5835
S2,37,2,0,FL-BB,0.7474566102027893,0.7879
S2,37,2,1,FL-BB,0.8628884553909302,0.7178
S2,37,2,2,FL-BB,0.59816575050354,0.6988
S2,37,2,3,FL-BB,0.7761953473091125,0.7774
S2,37,2,4,FL-BB,0.6765154004096985,0.657
S2,37,2,5,FL-BB,0.7054838538169861,0.7239
S2,37,2,6,FL-BB,0.8804243206977844,0.808
S2,37,2,7,FL-BB,0.659760057926178,0.7144
S2,37,2,8,FL-BB,0.7222644090652466,0.7776
S2,37,2,9,FL-BB,0.4059736430644989,0.554
S2,37,2,10,FL-BB,0.8499044179916382,0.8164
S2,37,2,11,FL-BB,0.4522116780281067,0.6425
S2,37,2,12,FL-BB,0.7750056982040405,0.655
S2,37,2,13,FL-BB,0.8011810779571533,0.8423
S2,37,2,14,FL-BB,0.45120885968208313,0.472
S2,37,2,15,FL-BB,0.6196830868721008,0.6948
S2,37,2,16,FL-BB,0.7762947082519531,0.7825
S2,37,2,17,FL-BB,0.9095394611358643,0.8611
S2,37,2,18,FL-BB,0.7870803475379944,0.7786
S2,37,2,19,FL-BB,0.8159229159355164,0.8017
S2,37,2,20,FL-BB,0.595191240310669,0.6371
S2,37,2,21,FL-BB,0.8299832344055176,0.82
S2,37,2,22,FL-BB,0.6616302132606506,0.6977
S2,37,2,23,FL-BB,0.7755956053733826,0.7514
S2,37,2,24,FL-BB,0.8731563687324524,0.8609
S2,37,2,25,FL-BB,0.43574050068855286,0.443
S2,37,2,26,FL-BB,0.8413936495780945,0.7882
S2,37,2,27,FL-BB,0.726689338684082,0.7515
S2,37,2,28,FL-BB,0.8265387415885925,0.8168
S2,37,2,29,FL-BB,0.6197564005851746,0.6444
S2,37,2,30,FL-BB,0.7290568351745605,0.7598
S2,37,2,31,FL-BB,0.7488399147987366,0.6609
S2,8914,8,0,CEN-BB,0.9192100763320923,0.9051
S2,8914,8,1,CEN-BB,0.9204753041267395,0.7914
S2,8914,8,2,CEN-BB,0.885869562625885,0.8667
S2,8914,8,3,CEN-BB,0.9165818691253662,0.9063
S2,8914,8,4,CEN-BB,0.8757234215736389,0.7534
S2,8914,8,5,CEN-BB,0.9270967841148376,0.8884
S2,8914,8,6,CEN-BB,0.8360655903816223,0.7668
S2,8914,8,7,CEN-BB,0.814612865447998,0.7924
S2,8914,8,8,CEN-BB,0.8457446694374084,0.8281
S2,8914,8,9,CEN-BB,0.5479726195335388,0.584
S2,8914,8,10,CEN-BB,0.7055449485778809,0.72
S2,8914,8,11,CEN-BB,0.7740916013717651,0.688
S2,8914,8,12,CEN-BB,0.8738943338394165,0.7724
S2,8914,8,13,CEN-BB,0.900098443031311,0.857
S2,8914,8,14,CEN-BB,0.7835712432861328,0.6716
S2,8914,8,15,CEN-BB,0.8411176204681396,0.7996
S2,8914,8,16,CEN-BB,0.9215162992477417,0.7635
S2,8914,8,17,CEN-BB,0.9418859481811523,0.9046
