stage,seed,n_video,video,backbone,accuracy,f1
FE,8914,2,73,FL-BB,0.640117994100295,0.5190388803971399
FE,8914,2,62,FL-BB,0.6373031496062992,0.4866640472306835
FE,37,2,65,CEN-BB,0.7560064068339563,0.5258358378502923
FE,37,2,77,CEN-BB,0.7581934452438049,0.6419263782239624
FE,37,2,50,CEN-BB,0.5639853747714808,0.4753318821859895
FE,37,2,69,CEN-BB,0.6640437158469945,0.44601529931048767
FE,37,2,71,CEN-BB,0.5721669980119284,0.38514340613072257
FE,37,2,63,CEN-BB,0.7028837751237984,0.48101694674915674
FE,37,2,57,CEN-BB,0.60790273556231,0.5351238426007183
FE,37,2,56,CEN-BB,0.6003271537622683,0.49087948434641887
FE,37,2,58,CEN-BB,0.47989320874353414,0.34605692709679975
FE,37,2,78,CEN-BB,0.5115020297699594,0.5079205778895262
FE,37,2,75,CEN-BB,0.8242329693187728,0.5581020526701178
FE,37,2,49,CEN-BB,0.7121484141232794,0.6731804539878177
FE,37,2,54,CEN-BB,0.6919354838709677,0.49639229365166854
FE,37,2,66,CEN-BB,0.737390350877193,0.5838419977795237
FE,37,2,76,CEN-BB,0.5013212533031333,0.31870224781441003
FE,37,2,70,CEN-BB,0.509212730318258,0.5038039003762564
FE,37,2,53,CEN-BB,0.6609808102345416,0.5077474526472178
FE,37,2,55,CEN-BB,0.630665380906461,0.4480952612329339
FE,37,2,74,CEN-BB,0.4645042839657283,0.43589947943593643
FE,37,2,59,CEN-BB,0.7609942638623327,0.5300484947480963
FE,37,2,61,CEN-BB,0.7042413245633931,0.4121375651009497
FE,37,2,60,CEN-BB,0.4178515007898894,0.41815226844695597
FE,37,2,80,CEN-BB,0.7505800464037123,0.5901848438600192
FE,37,2,79,CEN-BB,0.7226127709431751,0.6077595424137494
FE,37,2,52,CEN-BB,0.6500508646998983,0.5756103447044801
FE,37,2,68,CEN-BB,0.6779918864097363,0.5738109718172791
FE,37,2,51,CEN-BB,0.501358695652174,0.48376797227383517
FE,37,2,72,CEN-BB,0.7382485511912428,0.6106664780448077
FE,37,2,67,CEN-BB,0.6353591160220995,0.39401150504813237
FE,37,2,64,CEN-BB,0.6321934945788157,0.4938855466365385
FE,37,2,73,CEN-BB,0.7890855457227138,0.7118429339556973
FE,37,2,62,CEN-BB,0.5964566929133859,0.5005985501542913
FE,1665,2,65,CEN-BB,0.813667912439936,0.5489502192846062
FE,1665,2,77,CEN-BB,0.7821742605915267,0.715453101210442
FE,1665,2,50,CEN-BB,0.4936014625228519,0.2900007218840344
FE,1665,2,69,CEN-BB,0.6137704918032787,0.4090634991118578
FE,1665,2,71,CEN-BB,0.5025844930417495,0.32907457589243744
FE,1665,2,63,CEN-BB,0.6297698805709292,0.3934495087070083
FE,1665,2,57,CEN-BB,0.5626899696048632,0.4834088014830971
FE,1665,2,56,CEN-BB,0.623773173391494,0.39077141194641085
FE,1665,2,58,CEN-BB,0.30852661438344736,0.2550209770815885
FE,1665,2,78,CEN-BB,0.6373477672530447,0.5263357378665862
FE,1665,2,75,CEN-BB,0.8185127405096204,0.519682823028829
FE,1665,2,49,CEN-BB,0.7408737283064033,0.6701111719744827
FE,1665,2,54,CEN-BB,0.7280645161290322,0.5366545348970159
FE,1665,2,66,CEN-BB,0.6058114035087719,0.569389711183824
FE,1665,2,76,CEN-BB,0.5771989429973575,0.5160092965019464
FE,1665,2,70,CEN-BB,0.6373534338358459,0.604658062313613
FE,1665,2,53,CEN-BB,0.7088029241547366,0.6075892247658434
FE,1665,2,55,CEN-BB,0.5101253616200578,0.49062232183156834
FE,1665,2,74,CEN-BB,0.4143206854345165,0.3925449810132165
FE,1665,2,59,CEN-BB,0.7762906309751434,0.6627948015111479
FE,1665,2,61,CEN-BB,0.7441596733953277,0.4885523416568692
FE,1665,2,60,CEN-BB,0.40086887835703,0.3595205598468007
FE,1665,2,80,CEN-BB,0.6467517401392111,0.4371703893905922
FE,1665,2,79,CEN-BB,0.7747510251903925,0.5647479449782343
FE,1665,2,52,CEN-BB,0.7772126144455748,0.6997376780755562
FE,1665,2,68,CEN-BB,0.6318458417849898,0.5930998255084962
FE,1665,2,51,CEN-BB,0.5088315217391305,0.38295315626786147
FE,1665,2,72,CEN-BB,0.6925305859626529,0.6142438638722983
FE,1665,2,67,CEN-BB,0.7110072248193795,0.5708706851077795
FE,1665,2,64,CEN-BB,0.6538782318598833,0.5831266611124855
FE,1665,2,73,CEN-BB,0.8089970501474927,0.7071628259420908
FE,1665,2,62,CEN-BB,0.4670275590551181,0.4687454263543544
FE,8914,2,65,CEN-BB,0.6823278163374266,0.39948808450763434
FE,8914,2,77,CEN-BB,0.645083932853717,0.5199708067897156
FE,8914,2,50,CEN-BB,0.6343692870201096,0.4575649238961932
FE,8914,2,69,CEN-BB,0.6566120218579234,0.3808008529774266
FE,8914,2,71,CEN-BB,0.7089463220675944,0.41718516863905003
FE,8914,2,63,CEN-BB,0.6073405184969415,0.33552259220519215
FE,8914,2,57,CEN-BB,0.5714285714285714,0.4033834939800642
FE,8914,2,56,CEN-BB,0.5779716466739367,0.3788405154056986
FE,8914,2,58,CEN-BB,0.6345736692808276,0.33813196800193385
